sku,shape,carat,color,clarity,cut,price,url,image_url,type,lab
LD1030,Round,1.06,G,VVS1,Very Good,1053,https://www.bluenile.com/diamond-details/1030,https://example.invalid/1030.jpg,Lab-Grown,IGI
LD1031,Round,1.02,G,VS2,Very Good,746,https://www.bluenile.com/diamond-details/1031,https://example.invalid/1031.jpg,Lab-Grown,IGI
LD1032,Round,1.02,D,VVS2,Very Good,1337,https://www.bluenile.com/diamond-details/1032,https://example.invalid/1032.jpg,Lab-Grown,IGI
BN1033,Round,1.2,E,VS2,Excellent,8500,https://www.bluenile.com/diamond-details/1033,https://example.invalid/1033.jpg,Natural,GIA
BN1034,Round,1.2,E,VVS1,Ideal,9427,https://www.bluenile.com/diamond-details/1034,https://example.invalid/1034.jpg,Natural,GIA
BN1035,Round,1.36,H,VVS2,Very Good,7725,https://www.bluenile.com/diamond-details/1035,https://example.invalid/1035.jpg,Natural,GIA
BN1036,Round,1.34,G,VVS1,Very Good,9029,https://www.bluenile.com/diamond-details/1036,https://example.invalid/1036.jpg,Natural,GIA
LD1037,Round,1.22,F,VVS2,Excellent,1329,https://www.bluenile.com/diamond-details/1037,https://example.invalid/1037.jpg,Lab-Grown,IGI
LD1038,Round,1.23,D,VS1,Excellent,1553,https://www.bluenile.com/diamond-details/1038,https://example.invalid/1038.jpg,Lab-Grown,IGI
LD1039,Round,1.26,H,VS2,Ideal,930,https://www.bluenile.com/diamond-details/1039,https://example.invalid/1039.jpg,Lab-Grown,IGI
LD1040,Round,1.36,D,VVS2,Very Good,1754,https://www.bluenile.com/diamond-details/1040,https://example.invalid/1040.jpg,Lab-Grown,IGI
BN1041,Round,1.51,E,VVS2,Excellent,15376,https://www.bluenile.com/diamond-details/1041,https://example.invalid/1041.jpg,Natural,GIA
BN1042,Round,1.6,E,VS1,Excellent,15210,https://www.bluenile.com/diamond-details/1042,https://example.invalid/1042.jpg,Natural,GIA
BN1043,Round,1.6,E,VVS1,Very Good,16412,https://www.bluenile.com/diamond-details/1043,https://example.invalid/1043.jpg,Natural,GIA
BN1044,Round,1.63,F,VVS1,Excellent,15077,https://www.bluenile.com/diamond-details/1044,https://example.invalid/1044.jpg,Natural,GIA
LD1045,Round,1.56,F,VVS1,Excellent,2414,https://www.bluenile.com/diamond-details/1045,https://example.invalid/1045.jpg,Lab-Grown,IGI
LD1046,Round,1.63,F,VS2,Very Good,1725,https://www.bluenile.com/diamond-details/1046,https://example.invalid/1046.jpg,Lab-Grown,IGI
LD1047,Round,1.53,F,VS1,Excellent,1881,https://www.bluenile.com/diamond-details/1047,https://example.invalid/1047.jpg,Lab-Grown,IGI
LD1048,Round,1.6,G,VVS2,Very Good,2017,https://www.bluenile.com/diamond-details/1048,https://example.invalid/1048.jpg,Lab-Grown,IGI
BN1049,Round,2.14,D,VVS1,Very Good,33726,https://www.bluenile.com/diamond-details/1049,https://example.invalid/1049.jpg,Natural,GIA
BN1050,Round,2.04,E,VVS1,Ideal,29807,https://www.bluenile.com/diamond-details/1050,https://example.invalid/1050.jpg,Natural,GIA
BN1051,Round,1.94,G,VVS1,Very Good,21014,https://www.bluenile.com/diamond-details/1051,https://example.invalid/1051.jpg,Natural,GIA
BN1052,Round,2.11,E,VS1,Excellent,22330,https://www.bluenile.com/diamond-details/1052,https://example.invalid/1052.jpg,Natural,GIA
LD1053,Round,2.16,E,VVS1,Ideal,4616,https://www.bluenile.com/diamond-details/1053,https://example.invalid/1053.jpg,Lab-Grown,IGI
LD1054,Round,1.96,H,VS1,Excellent,2237,https://www.bluenile.com/diamond-details/1054,https://example.invalid/1054.jpg,Lab-Grown,IGI
LD1055,Round,2.09,H,VS1,Very Good,2603,https://www.bluenile.com/diamond-details/1055,https://example.invalid/1055.jpg,Lab-Grown,IGI
LD1056,Round,2.13,E,VS2,Ideal,3226,https://www.bluenile.com/diamond-details/1056,https://example.invalid/1056.jpg,Lab-Grown,IGI
BN1057,Round,2.56,H,VVS2,Ideal,22743,https://www.bluenile.com/diamond-details/1057,https://example.invalid/1057.jpg,Natural,GIA
BN1058,Round,2.67,D,VVS2,Excellent,40352,https://www.bluenile.com/diamond-details/1058,https://example.invalid/1058.jpg,Natural,GIA
BN1059,Round,2.59,H,VVS1,Excellent,27443,https://www.bluenile.com/diamond-details/1059,https://example.invalid/1059.jpg,Natural,GIA
BN1060,Round,2.44,E,VS2,Very Good,27858,https://www.bluenile.com/diamond-details/1060,https://example.invalid/1060.jpg,Natural,GIA
LD1061,Round,2.6,E,VS1,Excellent,4231,https://www.bluenile.com/diamond-details/1061,https://example.invalid/1061.jpg,Lab-Grown,IGI
LD1062,Round,2.64,H,VS2,Excellent,2924,https://www.bluenile.com/diamond-details/1062,https://example.invalid/1062.jpg,Lab-Grown,IGI
LD1063,Round,2.57,G,VS2,Very Good,3528,https://www.bluenile.com/diamond-details/1063,https://example.invalid/1063.jpg,Lab-Grown,IGI
LD1064,Round,2.48,F,VS2,Excellent,3834,https://www.bluenile.com/diamond-details/1064,https://example.invalid/1064.jpg,Lab-Grown,IGI
BN1065,Round,3.06,D,VS2,Excellent,46967,https://www.bluenile.com/diamond-details/1065,https://example.invalid/1065.jpg,Natural,GIA
BN1066,Round,3.26,H,VS1,Ideal,38546,https://www.bluenile.com/diamond-details/1066,https://example.invalid/1066.jpg,Natural,GIA
BN1067,Round,3.08,G,VS1,Ideal,40514,https://www.bluenile.com/diamond-details/1067,https://example.invalid/1067.jpg,Natural,GIA
BN1068,Round,3.24,E,VVS1,Very Good,56153,https://www.bluenile.com/diamond-details/1068,https://example.invalid/1068.jpg,Natural,GIA
LD1069,Round,3.03,F,VS2,Ideal,6217,https://www.bluenile.com/diamond-details/1069,https://example.invalid/1069.jpg,Lab-Grown,IGI
LD1070,Round,2.91,F,VS2,Very Good,6231,https://www.bluenile.com/diamond-details/1070,https://example.invalid/1070.jpg,Lab-Grown,IGI
LD1071,Round,3.25,F,VS1,Very Good,6742,https://www.bluenile.com/diamond-details/1071,https://example.invalid/1071.jpg,Lab-Grown,IGI
LD1072,Round,3.26,E,VS2,Ideal,6886,https://www.bluenile.com/diamond-details/1072,https://example.invalid/1072.jpg,Lab-Grown,IGI
BN1073,Round,3.92,E,VS1,Excellent,78574,https://www.bluenile.com/diamond-details/1073,https://example.invalid/1073.jpg,Natural,GIA
BN1074,Round,4.05,G,VS1,Very Good,60581,https://www.bluenile.com/diamond-details/1074,https://example.invalid/1074.jpg,Natural,GIA
BN1075,Round,4.22,D,VVS2,Ideal,98357,https://www.bluenile.com/diamond-details/1075,https://example.invalid/1075.jpg,Natural,GIA
BN1076,Round,4.21,G,VVS2,Ideal,72158,https://www.bluenile.com/diamond-details/1076,https://example.invalid/1076.jpg,Natural,GIA
LD1077,Round,4.11,D,VS2,Very Good,12782,https://www.bluenile.com/diamond-details/1077,https://example.invalid/1077.jpg,Lab-Grown,IGI
LD1078,Round,4.35,D,VS2,Very Good,11754,https://www.bluenile.com/diamond-details/1078,https://example.invalid/1078.jpg,Lab-Grown,IGI
LD1079,Round,4.31,E,VVS2,Ideal,14509,https://www.bluenile.com/diamond-details/1079,https://example.invalid/1079.jpg,Lab-Grown,IGI
LD1080,Round,4.28,F,VVS1,Excellent,12495,https://www.bluenile.com/diamond-details/1080,https://example.invalid/1080.jpg,Lab-Grown,IGI
BN1081,Round,5.17,F,VS2,Excellent,79559,https://www.bluenile.com/diamond-details/1081,https://example.invalid/1081.jpg,Natural,GIA
BN1082,Round,4.92,D,VVS2,Excellent,123391,https://www.bluenile.com/diamond-details/1082,https://example.invalid/1082.jpg,Natural,GIA
BN1083,Round,4.86,F,VS2,Very Good,79939,https://www.bluenile.com/diamond-details/1083,https://example.invalid/1083.jpg,Natural,GIA
BN1084,Round,4.84,D,VVS1,Excellent,107302,https://www.bluenile.com/diamond-details/1084,https://example.invalid/1084.jpg,Natural,GIA
LD1085,Round,5.07,F,VS1,Excellent,12238,https://www.bluenile.com/diamond-details/1085,https://example.invalid/1085.jpg,Lab-Grown,IGI
LD1086,Round,4.95,D,VS1,Very Good,14701,https://www.bluenile.com/diamond-details/1086,https://example.invalid/1086.jpg,Lab-Grown,IGI
LD1087,Round,4.93,F,VVS2,Very Good,14616,https://www.bluenile.com/diamond-details/1087,https://example.invalid/1087.jpg,Lab-Grown,IGI
LD1088,Round,4.99,H,VS1,Very Good,9898,https://www.bluenile.com/diamond-details/1088,https://example.invalid/1088.jpg,Lab-Grown,IGI
BN1089,Oval,0.27,D,VS2,Excellent,461,https://www.bluenile.com/diamond-details/1089,https://example.invalid/1089.jpg,Natural,GIA
BN1090,Oval,0.26,E,VVS1,Ideal,561,https://www.bluenile.com/diamond-details/1090,https://example.invalid/1090.jpg,Natural,GIA
BN1091,Oval,0.24,G,VVS1,Ideal,441,https://www.bluenile.com/diamond-details/1091,https://example.invalid/1091.jpg,Natural,GIA
BN1092,Oval,0.27,F,VS1,Ideal,524,https://www.bluenile.com/diamond-details/1092,https://example.invalid/1092.jpg,Natural,GIA
LD1093,Oval,0.25,E,VVS1,Very Good,94,https://www.bluenile.com/diamond-details/1093,https://example.invalid/1093.jpg,Lab-Grown,IGI
LD1094,Oval,0.27,D,VS2,Ideal,78,https://www.bluenile.com/diamond-details/1094,https://example.invalid/1094.jpg,Lab-Grown,IGI
LD1095,Oval,0.25,D,VS2,Ideal,73,https://www.bluenile.com/diamond-details/1095,https://example.invalid/1095.jpg,Lab-Grown,IGI
LD1096,Oval,0.27,F,VS1,Very Good,74,https://www.bluenile.com/diamond-details/1096,https://example.invalid/1096.jpg,Lab-Grown,IGI
BN1097,Oval,0.51,E,VVS2,Ideal,2077,https://www.bluenile.com/diamond-details/1097,https://example.invalid/1097.jpg,Natural,GIA
BN1098,Oval,0.5,F,VVS2,Ideal,1797,https://www.bluenile.com/diamond-details/1098,https://example.invalid/1098.jpg,Natural,GIA
BN1099,Oval,0.49,E,VS2,Very Good,1599,https://www.bluenile.com/diamond-details/1099,https://example.invalid/1099.jpg,Natural,GIA
BN1100,Oval,0.51,H,VS1,Very Good,1295,https://www.bluenile.com/diamond-details/1100,https://example.invalid/1100.jpg,Natural,GIA
LD1101,Oval,0.49,D,VS1,Very Good,289,https://www.bluenile.com/diamond-details/1101,https://example.invalid/1101.jpg,Lab-Grown,IGI
LD1102,Oval,0.51,F,VVS2,Very Good,297,https://www.bluenile.com/diamond-details/1102,https://example.invalid/1102.jpg,Lab-Grown,IGI
LD1103,Oval,0.52,H,VS1,Excellent,215,https://www.bluenile.com/diamond-details/1103,https://example.invalid/1103.jpg,Lab-Grown,IGI
LD1104,Oval,0.53,H,VVS1,Excellent,264,https://www.bluenile.com/diamond-details/1104,https://example.invalid/1104.jpg,Lab-Grown,IGI
BN1105,Oval,0.82,E,VVS2,Excellent,4442,https://www.bluenile.com/diamond-details/1105,https://example.invalid/1105.jpg,Natural,GIA
BN1106,Oval,0.73,H,VVS1,Excellent,3040,https://www.bluenile.com/diamond-details/1106,https://example.invalid/1106.jpg,Natural,GIA
BN1107,Oval,0.73,H,VS2,Excellent,2380,https://www.bluenile.com/diamond-details/1107,https://example.invalid/1107.jpg,Natural,GIA
BN1108,Oval,0.8,E,VS2,Very Good,3081,https://www.bluenile.com/diamond-details/1108,https://example.invalid/1108.jpg,Natural,GIA
LD1109,Oval,0.78,D,VVS1,Excellent,745,https://www.bluenile.com/diamond-details/1109,https://example.invalid/1109.jpg,Lab-Grown,IGI
LD1110,Oval,0.72,D,VS1,Very Good,544,https://www.bluenile.com/diamond-details/1110,https://example.invalid/1110.jpg,Lab-Grown,IGI
LD1111,Oval,0.76,D,VS2,Very Good,540,https://www.bluenile.com/diamond-details/1111,https://example.invalid/1111.jpg,Lab-Grown,IGI
LD1112,Oval,0.79,G,VVS2,Ideal,522,https://www.bluenile.com/diamond-details/1112,https://example.invalid/1112.jpg,Lab-Grown,IGI
BN1113,Oval,0.99,E,VS1,Ideal,7418,https://www.bluenile.com/diamond-details/1113,https://example.invalid/1113.jpg,Natural,GIA
BN1114,Oval,1.02,G,VS2,Excellent,5282,https://www.bluenile.com/diamond-details/1114,https://example.invalid/1114.jpg,Natural,GIA
BN1115,Oval,1.0,D,VS1,Very Good,7069,https://www.bluenile.com/diamond-details/1115,https://example.invalid/1115.jpg,Natural,GIA
BN1116,Oval,1.0,F,VS1,Very Good,5937,https://www.bluenile.com/diamond-details/1116,https://example.invalid/1116.jpg,Natural,GIA
LD1117,Oval,1.02,D,VS1,Ideal,1223,https://www.bluenile.com/diamond-details/1117,https://example.invalid/1117.jpg,Lab-Grown,IGI
LD1118,Oval,1.05,F,VVS1,Very Good,1216,https://www.bluenile.com/diamond-details/1118,https://example.invalid/1118.jpg,Lab-Grown,IGI
LD1119,Oval,1.09,H,VS1,Very Good,810,https://www.bluenile.com/diamond-details/1119,https://example.invalid/1119.jpg,Lab-Grown,IGI
LD1120,Oval,1.08,D,VVS2,Excellent,1376,https://www.bluenile.com/diamond-details/1120,https://example.invalid/1120.jpg,Lab-Grown,IGI
BN1121,Oval,1.36,G,VVS2,Very Good,8433,https://www.bluenile.com/diamond-details/1121,https://example.invalid/1121.jpg,Natural,GIA
BN1122,Oval,1.21,D,VS1,Ideal,9806,https://www.bluenile.com/diamond-details/1122,https://example.invalid/1122.jpg,Natural,GIA
BN1123,Oval,1.35,E,VVS2,Excellent,11534,https://www.bluenile.com/diamond-details/1123,https://example.invalid/1123.jpg,Natural,GIA
BN1124,Oval,1.26,G,VVS1,Very Good,8337,https://www.bluenile.com/diamond-details/1124,https://example.invalid/1124.jpg,Natural,GIA
LD1125,Oval,1.2,G,VVS1,Excellent,1194,https://www.bluenile.com/diamond-details/1125,https://example.invalid/1125.jpg,Lab-Grown,IGI
LD1126,Oval,1.22,F,VVS1,Ideal,1370,https://www.bluenile.com/diamond-details/1126,https://example.invalid/1126.jpg,Lab-Grown,IGI
LD1127,Oval,1.2,F,VVS1,Very Good,1293,https://www.bluenile.com/diamond-details/1127,https://example.invalid/1127.jpg,Lab-Grown,IGI
LD1128,Oval,1.32,F,VVS2,Ideal,1408,https://www.bluenile.com/diamond-details/1128,https://example.invalid/1128.jpg,Lab-Grown,IGI
BN1129,Oval,1.52,H,VS2,Ideal,8644,https://www.bluenile.com/diamond-details/1129,https://example.invalid/1129.jpg,Natural,GIA
BN1130,Oval,1.59,D,VVS2,Excellent,15666,https://www.bluenile.com/diamond-details/1130,https://example.invalid/1130.jpg,Natural,GIA
BN1131,Oval,1.5,E,VS1,Ideal,14669,https://www.bluenile.com/diamond-details/1131,https://example.invalid/1131.jpg,Natural,GIA
BN1132,Oval,1.54,E,VVS2,Ideal,16136,https://www.bluenile.com/diamond-details/1132,https://example.invalid/1132.jpg,Natural,GIA
LD1133,Oval,1.61,G,VS1,Very Good,1803,https://www.bluenile.com/diamond-details/1133,https://example.invalid/1133.jpg,Lab-Grown,IGI
LD1134,Oval,1.62,G,VVS1,Very Good,2101,https://www.bluenile.com/diamond-details/1134,https://example.invalid/1134.jpg,Lab-Grown,IGI
LD1135,Oval,1.57,F,VVS1,Excellent,2082,https://www.bluenile.com/diamond-details/1135,https://example.invalid/1135.jpg,Lab-Grown,IGI
LD1136,Oval,1.46,G,VVS1,Ideal,1793,https://www.bluenile.com/diamond-details/1136,https://example.invalid/1136.jpg,Lab-Grown,IGI
BN1137,Oval,1.99,F,VVS1,Ideal,26077,https://www.bluenile.com/diamond-details/1137,https://example.invalid/1137.jpg,Natural,GIA
BN1138,Oval,2.05,G,VS2,Very Good,16266,https://www.bluenile.com/diamond-details/1138,https://example.invalid/1138.jpg,Natural,GIA
BN1139,Oval,1.94,H,VVS1,Ideal,19488,https://www.bluenile.com/diamond-details/1139,https://example.invalid/1139.jpg,Natural,GIA
BN1140,Oval,2.16,G,VVS1,Very Good,22148,https://www.bluenile.com/diamond-details/1140,https://example.invalid/1140.jpg,Natural,GIA
LD1141,Oval,1.98,E,VVS2,Ideal,3893,https://www.bluenile.com/diamond-details/1141,https://example.invalid/1141.jpg,Lab-Grown,IGI
LD1142,Oval,1.98,F,VS1,Excellent,3441,https://www.bluenile.com/diamond-details/1142,https://example.invalid/1142.jpg,Lab-Grown,IGI
LD1143,Oval,2.15,G,VVS1,Very Good,3739,https://www.bluenile.com/diamond-details/1143,https://example.invalid/1143.jpg,Lab-Grown,IGI
LD1144,Oval,2.02,F,VS2,Excellent,2961,https://www.bluenile.com/diamond-details/1144,https://example.invalid/1144.jpg,Lab-Grown,IGI
BN1145,Oval,2.71,E,VS1,Very Good,29092,https://www.bluenile.com/diamond-details/1145,https://example.invalid/1145.jpg,Natural,GIA
BN1146,Oval,2.52,G,VVS1,Very Good,30374,https://www.bluenile.com/diamond-details/1146,https://example.invalid/1146.jpg,Natural,GIA
BN1147,Oval,2.44,G,VVS1,Ideal,29487,https://www.bluenile.com/diamond-details/1147,https://example.invalid/1147.jpg,Natural,GIA
BN1148,Oval,2.4,G,VVS1,Very Good,29025,https://www.bluenile.com/diamond-details/1148,https://example.invalid/1148.jpg,Natural,GIA
LD1149,Oval,2.65,E,VS1,Excellent,4322,https://www.bluenile.com/diamond-details/1149,https://example.invalid/1149.jpg,Lab-Grown,IGI
LD1150,Oval,2.44,G,VS2,Very Good,3143,https://www.bluenile.com/diamond-details/1150,https://example.invalid/1150.jpg,Lab-Grown,IGI
LD1151,Oval,2.4,E,VS1,Very Good,4266,https://www.bluenile.com/diamond-details/1151,https://example.invalid/1151.jpg,Lab-Grown,IGI
LD1152,Oval,2.61,F,VS1,Excellent,4316,https://www.bluenile.com/diamond-details/1152,https://example.invalid/1152.jpg,Lab-Grown,IGI
BN1153,Oval,3.13,D,VS2,Excellent,44418,https://www.bluenile.com/diamond-details/1153,https://example.invalid/1153.jpg,Natural,GIA
BN1154,Oval,3.25,E,VVS1,Excellent,57830,https://www.bluenile.com/diamond-details/1154,https://example.invalid/1154.jpg,Natural,GIA
BN1155,Oval,2.88,H,VVS2,Ideal,39976,https://www.bluenile.com/diamond-details/1155,https://example.invalid/1155.jpg,Natural,GIA
BN1156,Oval,3.25,E,VVS1,Excellent,61054,https://www.bluenile.com/diamond-details/1156,https://example.invalid/1156.jpg,Natural,GIA
LD1157,Oval,2.98,G,VVS2,Very Good,5714,https://www.bluenile.com/diamond-details/1157,https://example.invalid/1157.jpg,Lab-Grown,IGI
LD1158,Oval,3.07,G,VS2,Excellent,5039,https://www.bluenile.com/diamond-details/1158,https://example.invalid/1158.jpg,Lab-Grown,IGI
LD1159,Oval,3.05,F,VS1,Excellent,6646,https://www.bluenile.com/diamond-details/1159,https://example.invalid/1159.jpg,Lab-Grown,IGI
LD1160,Oval,3.01,G,VVS2,Very Good,6566,https://www.bluenile.com/diamond-details/1160,https://example.invalid/1160.jpg,Lab-Grown,IGI
BN1161,Oval,3.84,F,VS2,Very Good,58179,https://www.bluenile.com/diamond-details/1161,https://example.invalid/1161.jpg,Natural,GIA
BN1162,Oval,4.0,E,VS1,Ideal,76463,https://www.bluenile.com/diamond-details/1162,https://example.invalid/1162.jpg,Natural,GIA
BN1163,Oval,4.24,F,VS2,Ideal,74434,https://www.bluenile.com/diamond-details/1163,https://example.invalid/1163.jpg,Natural,GIA
BN1164,Oval,4.16,E,VVS1,Excellent,93070,https://www.bluenile.com/diamond-details/1164,https://example.invalid/1164.jpg,Natural,GIA
LD1165,Oval,3.87,H,VS1,Very Good,8725,https://www.bluenile.com/diamond-details/1165,https://example.invalid/1165.jpg,Lab-Grown,IGI
LD1166,Oval,3.95,H,VS1,Excellent,8073,https://www.bluenile.com/diamond-details/1166,https://example.invalid/1166.jpg,Lab-Grown,IGI
LD1167,Oval,3.87,G,VVS1,Ideal,11406,https://www.bluenile.com/diamond-details/1167,https://example.invalid/1167.jpg,Lab-Grown,IGI
LD1168,Oval,4.22,D,VS1,Very Good,12711,https://www.bluenile.com/diamond-details/1168,https://example.invalid/1168.jpg,Lab-Grown,IGI
BN1169,Oval,5.22,H,VVS1,Excellent,77499,https://www.bluenile.com/diamond-details/1169,https://example.invalid/1169.jpg,Natural,GIA
BN1170,Oval,5.27,F,VVS2,Very Good,102322,https://www.bluenile.com/diamond-details/1170,https://example.invalid/1170.jpg,Natural,GIA
BN1171,Oval,4.8,F,VS2,Very Good,74984,https://www.bluenile.com/diamond-details/1171,https://example.invalid/1171.jpg,Natural,GIA
BN1172,Oval,5.16,E,VVS1,Ideal,114024,https://www.bluenile.com/diamond-details/1172,https://example.invalid/1172.jpg,Natural,GIA
LD1173,Oval,5.33,G,VS2,Ideal,10184,https://www.bluenile.com/diamond-details/1173,https://example.invalid/1173.jpg,Lab-Grown,IGI
LD1174,Oval,4.93,H,VVS1,Ideal,11369,https://www.bluenile.com/diamond-details/1174,https://example.invalid/1174.jpg,Lab-Grown,IGI
LD1175,Oval,5.28,G,VS2,Very Good,11380,https://www.bluenile.com/diamond-details/1175,https://example.invalid/1175.jpg,Lab-Grown,IGI
LD1176,Oval,5.33,G,VS2,Ideal,10914,https://www.bluenile.com/diamond-details/1176,https://example.invalid/1176.jpg,Lab-Grown,IGI
BN1177,Princess,0.24,D,VVS2,Very Good,520,https://www.bluenile.com/diamond-details/1177,https://example.invalid/1177.jpg,Natural,GIA
BN1178,Princess,0.27,F,VVS2,Excellent,506,https://www.bluenile.com/diamond-details/1178,https://example.invalid/1178.jpg,Natural,GIA
BN1179,Princess,0.24,F,VVS2,Excellent,452,https://www.bluenile.com/diamond-details/1179,https://example.invalid/1179.jpg,Natural,GIA
BN1180,Princess,0.26,D,VS2,Very Good,523,https://www.bluenile.com/diamond-details/1180,https://example.invalid/1180.jpg,Natural,GIA
LD1181,Princess,0.26,G,VVS1,Ideal,75,https://www.bluenile.com/diamond-details/1181,https://example.invalid/1181.jpg,Lab-Grown,IGI
LD1182,Princess,0.27,E,VVS1,Excellent,86,https://www.bluenile.com/diamond-details/1182,https://example.invalid/1182.jpg,Lab-Grown,IGI
LD1183,Princess,0.25,E,VS1,Ideal,70,https://www.bluenile.com/diamond-details/1183,https://example.invalid/1183.jpg,Lab-Grown,IGI
LD1184,Princess,0.25,H,VS2,Ideal,47,https://www.bluenile.com/diamond-details/1184,https://example.invalid/1184.jpg,Lab-Grown,IGI
BN1185,Princess,0.53,E,VVS1,Very Good,2123,https://www.bluenile.com/diamond-details/1185,https://example.invalid/1185.jpg,Natural,GIA
BN1186,Princess,0.51,H,VVS2,Ideal,1409,https://www.bluenile.com/diamond-details/1186,https://example.invalid/1186.jpg,Natural,GIA
BN1187,Princess,0.54,D,VVS2,Very Good,2461,https://www.bluenile.com/diamond-details/1187,https://example.invalid/1187.jpg,Natural,GIA
BN1188,Princess,0.49,G,VVS1,Very Good,1607,https://www.bluenile.com/diamond-details/1188,https://example.invalid/1188.jpg,Natural,GIA
LD1189,Princess,0.51,H,VS1,Excellent,215,https://www.bluenile.com/diamond-details/1189,https://example.invalid/1189.jpg,Lab-Grown,IGI
LD1190,Princess,0.53,F,VVS2,Ideal,288,https://www.bluenile.com/diamond-details/1190,https://example.invalid/1190.jpg,Lab-Grown,IGI
LD1191,Princess,0.5,F,VS1,Very Good,253,https://www.bluenile.com/diamond-details/1191,https://example.invalid/1191.jpg,Lab-Grown,IGI
LD1192,Princess,0.5,E,VVS2,Excellent,333,https://www.bluenile.com/diamond-details/1192,https://example.invalid/1192.jpg,Lab-Grown,IGI
BN1193,Princess,0.74,D,VVS1,Very Good,4196,https://www.bluenile.com/diamond-details/1193,https://example.invalid/1193.jpg,Natural,GIA
BN1194,Princess,0.77,E,VS2,Very Good,3373,https://www.bluenile.com/diamond-details/1194,https://example.invalid/1194.jpg,Natural,GIA
